,RecordID,StateCode,LabelerCode,ProductCode,PackageSize,PeriodCovered,FDAListName,UnitsReimbursed,NumberRx,TotalAmountReimbursed,MedicaidAmountReimbursed,Non-MedicaidAmountReimbursed
123602,FFSU,XX,68084.0,564.0,01,20121.0,ATORVASTAT,30.0,1.0,112.11,112.11,0.0
123603,FFSU,XX,68084.0,564.0,01,20122.0,ATORVASTAT,138.0,8.0,458.9,458.9,0.0
123604,FFSU,XX,68084.0,564.0,01,20123.0,ATORVASTAT,512.0,26.0,882.18,852.38,29.8
123605,FFSU,XX,68084.0,564.0,01,20124.0,ATORVASTAT,1103.0,61.0,745.75,700.05,45.7
123606,FFSU,XX,68084.0,564.0,11,20124.0,ATORVASTAT,120.0,4.0,83.52,32.07,51.45
243694,MCOU,XX,68084.0,564.0,1.0,20124.0,ATORVASTAT,128.0,8.0,2240.26,2240.23,0.03
123607,FFSU,XX,68084.0,565.0,01,20121.0,ATORVASTAT,30.0,1.0,155.99,155.99,0.0
123608,FFSU,XX,68084.0,565.0,01,20122.0,ATORVASTAT,366.0,11.0,1887.74,1887.74,0.0
123609,FFSU,XX,68084.0,565.0,01,20123.0,ATORVASTAT,864.0,34.0,1336.16,1329.16,7.0
123610,FFSU,XX,68084.0,565.0,01,20124.0,ATORVASTAT,1306.0,55.0,942.23,913.23,29.0
123611,FFSU,XX,68084.0,565.0,11,20123.0,ATORVASTAT,30.0,1.0,28.0,28.0,0.0
123612,FFSU,XX,68084.0,565.0,11,20124.0,ATORVASTAT,212.0,8.0,139.02,139.02,0.0
243695,MCOU,XX,68084.0,565.0,1.0,20121.0,ATORVASTAT,30.0,1.0,143.61,143.61,0.0
243696,MCOU,XX,68084.0,565.0,1.0,20122.0,ATORVASTAT,30.0,1.0,133.68,133.68,0.0
243697,MCOU,XX,68084.0,565.0,1.0,20123.0,ATORVASTAT,182.0,7.0,217.14,217.14,0.0
243698,MCOU,XX,68084.0,565.0,1.0,20124.0,ATORVASTAT,393.0,15.0,6133.89,6133.89,0.0
123637,FFSU,XX,68084.0,589.0,01,20123.0,ATORVASTAT,390.0,13.0,461.2,461.2,0.0
123638,FFSU,XX,68084.0,589.0,01,20124.0,ATORVASTAT,823.0,34.0,663.79,647.79,16.0
123639,FFSU,XX,68084.0,589.0,11,20123.0,ATORVASTAT,120.0,4.0,111.99,111.99,0.0
123640,FFSU,XX,68084.0,589.0,11,20124.0,ATORVASTAT,511.0,18.0,320.8,320.8,0.0
243708,MCOU,XX,68084.0,589.0,1.0,20124.0,ATORVASTAT,210.0,7.0,189.94,186.94,3.0
45144,FFSU,XX,591.0,3774.0,10,20121.0,ATORVASTAT,1725.0,59.0,5119.1,4964.38,154.72
45145,FFSU,XX,591.0,3774.0,10,20122.0,ATORVASTAT,9573.0,331.0,25332.41,24675.61,656.8
45146,FFSU,XX,591.0,3774.0,10,20123.0,ATORVASTAT,25245.0,828.0,26332.38,25916.35,416.03
45147,FFSU,XX,591.0,3774.0,10,20124.0,ATORVASTAT,38889.0,1268.0,30333.69,29460.0,873.69
45148,FFSU,XX,591.0,3774.0,19,20121.0,ATORVASTAT,272762.0,8419.0,886983.1,864384.41,22598.69
45149,FFSU,XX,591.0,3774.0,19,20122.0,ATORVASTAT,326589.0,10062.0,976821.19,957051.19,19770.0
45150,FFSU,XX,591.0,3774.0,19,20123.0,ATORVASTAT,508172.5,15584.0,600133.55,581363.85,18769.7
45151,FFSU,XX,591.0,3774.0,19,20124.0,ATORVASTAT,444821.5,13769.0,282072.55,269560.03,12512.52
170545,MCOU,XX,591.0,3774.0,10,20121.0,ATORVASTAT,35621.71,1150.0,99528.89,99523.39,5.5
170546,MCOU,XX,591.0,3774.0,10,20122.0,ATORVASTAT,36493.0,1233.0,90763.22,90612.64,150.58
170547,MCOU,XX,591.0,3774.0,10,20123.0,ATORVASTAT,47338.0,1589.0,41267.3,41005.18,262.12
170548,MCOU,XX,591.0,3774.0,10,20124.0,ATORVASTAT,63860.935,2209.0,51676.88,51637.68,39.2
170549,MCOU,XX,591.0,3774.0,19,20121.0,ATORVASTAT,641003.704,20874.0,1822803.31,1818593.64,4209.67
170550,MCOU,XX,591.0,3774.0,19,20122.0,ATORVASTAT,678994.0,23068.0,1802613.37,1777083.44,25529.93
170551,MCOU,XX,591.0,3774.0,19,20123.0,ATORVASTAT,673050.5,22494.0,722662.79,720348.38,2314.41
170552,MCOU,XX,591.0,3774.0,19,20124.0,ATORVASTAT,611763.824,20743.0,543648.56,542351.38,1297.18
45152,FFSU,XX,591.0,3775.0,10,20121.0,ATORVASTAT,3033.0,103.0,15082.14,14600.66,481.48
45153,FFSU,XX,591.0,3775.0,10,20122.0,ATORVASTAT,10096.0,336.0,38831.92,37351.18,1480.74
45154,FFSU,XX,591.0,3775.0,10,20123.0,ATORVASTAT,29038.0,960.0,55756.61,54470.2,1286.41
45155,FFSU,XX,591.0,3775.0,10,20124.0,ATORVASTAT,67674.0,2140.0,61772.83,60028.84,1743.99
45156,FFSU,XX,591.0,3775.0,19,20121.0,ATORVASTAT,429646.001,13170.0,1950300.92,1912848.32,37452.6
45157,FFSU,XX,591.0,3775.0,19,20122.0,ATORVASTAT,456389.0,13981.0,1888128.79,1853846.93,34281.86
45158,FFSU,XX,591.0,3775.0,19,20123.0,ATORVASTAT,736572.0,22433.0,1131665.32,1102271.28,29394.04
45159,FFSU,XX,591.0,3775.0,19,20124.0,ATORVASTAT,613940.501,19006.0,489748.6,470075.25,19673.35
170553,MCOU,XX,591.0,3775.0,10,20121.0,ATORVASTAT,37984.22,1233.0,153982.78,153978.78,4.0
170554,MCOU,XX,591.0,3775.0,10,20122.0,ATORVASTAT,43524.0,1456.0,150707.37,149716.93,990.44
170555,MCOU,XX,591.0,3775.0,10,20123.0,ATORVASTAT,60581.0,2020.0,75028.55,74712.79,315.76
170556,MCOU,XX,591.0,3775.0,10,20124.0,ATORVASTAT,80124.0,2661.0,97898.24,97662.44,235.8
170557,MCOU,XX,591.0,3775.0,19,20121.0,ATORVASTAT,785748.666,25900.0,3157075.52,3151391.79,5683.73
170558,MCOU,XX,591.0,3775.0,19,20122.0,ATORVASTAT,871111.4990000001,29507.0,3212467.6,3167727.39,44740.21
170559,MCOU,XX,591.0,3775.0,19,20123.0,ATORVASTAT,867737.0,29020.0,1305603.46,1301802.98,3800.48
170560,MCOU,XX,591.0,3775.0,19,20124.0,ATORVASTAT,804651.9720000001,26978.0,1009402.73,1008017.63,1385.1
45160,FFSU,XX,591.0,3776.0,5,20121.0,ATORVASTAT,5368.0,181.0,25720.35,25058.8,661.55
45161,FFSU,XX,591.0,3776.0,5,20122.0,ATORVASTAT,10384.0,356.0,42298.99,40989.23,1309.76
45162,FFSU,XX,591.0,3776.0,5,20123.0,ATORVASTAT,24801.0,812.0,48430.94,47709.11,721.83
45163,FFSU,XX,591.0,3776.0,5,20124.0,ATORVASTAT,64026.5,1994.0,67172.0,65816.75,1355.25
45164,FFSU,XX,591.0,3776.0,19,20121.0,ATORVASTAT,455042.0,14091.0,2084061.56,2044466.32,39595.24
45165,FFSU,XX,591.0,3776.0,19,20122.0,ATORVASTAT,449126.0,13738.0,1865505.91,1829544.38,35961.53
45166,FFSU,XX,591.0,3776.0,19,20123.0,ATORVASTAT,710607.0,21525.0,1049304.67,1018299.07,31005.6
45167,FFSU,XX,591.0,3776.0,19,20124.0,ATORVASTAT,566973.5,17397.0,468070.57,447613.23,20457.34
170561,MCOU,XX,591.0,3776.0,5,20121.0,ATORVASTAT,25866.34,856.0,108069.51,107904.64,164.87
170562,MCOU,XX,591.0,3776.0,5,20122.0,ATORVASTAT,36228.0,1232.0,166639.47,165759.87,879.6
170563,MCOU,XX,591.0,3776.0,5,20123.0,ATORVASTAT,52923.0,1774.0,76087.85,75926.85,161.0
170564,MCOU,XX,591.0,3776.0,5,20124.0,ATORVASTAT,79048.97,2671.0,98435.6,98266.4,169.2
170565,MCOU,XX,591.0,3776.0,19,20121.0,ATORVASTAT,747519.507,25321.0,3136217.83,3130859.64,5358.19
170566,MCOU,XX,591.0,3776.0,19,20122.0,ATORVASTAT,941283.0009999999,32590.0,3617703.28,3583795.5,33907.78
170567,MCOU,XX,591.0,3776.0,19,20123.0,ATORVASTAT,936135.0,31642.0,1486212.32,1481602.44,4609.88
170568,MCOU,XX,591.0,3776.0,19,20124.0,ATORVASTAT,782475.0,26386.0,974975.5,972946.33,2029.17
45168,FFSU,XX,591.0,3777.0,5,20121.0,ATORVASTAT,1753.0,69.0,7509.82,6966.45,543.37
45169,FFSU,XX,591.0,3777.0,5,20122.0,ATORVASTAT,4312.0,144.0,15616.66,14965.65,651.01
45170,FFSU,XX,591.0,3777.0,5,20123.0,ATORVASTAT,7226.0,241.0,8583.29,8441.51,141.78
45171,FFSU,XX,591.0,3777.0,5,20124.0,ATORVASTAT,9975.0,317.0,7707.35,7529.67,177.68
45172,FFSU,XX,591.0,3777.0,19,20121.0,ATORVASTAT,243636.0,7875.0,1103277.45,1087130.48,16146.97
45173,FFSU,XX,591.0,3777.0,19,20122.0,ATORVASTAT,228113.5,7305.0,938792.25,922801.18,15991.07
45174,FFSU,XX,591.0,3777.0,19,20123.0,ATORVASTAT,338152.5,10461.0,484197.32,469220.56,14976.76
45175,FFSU,XX,591.0,3777.0,19,20124.0,ATORVASTAT,276827.0,8529.0,237782.08,228334.35,9447.73
170569,MCOU,XX,591.0,3777.0,5,20121.0,ATORVASTAT,10370.88,356.0,42465.28,42437.78,27.5
170570,MCOU,XX,591.0,3777.0,5,20122.0,ATORVASTAT,14764.0,512.0,52388.2,52176.49,211.71
170571,MCOU,XX,591.0,3777.0,5,20123.0,ATORVASTAT,19977.0,702.0,26333.26,26282.61,50.65
170572,MCOU,XX,591.0,3777.0,5,20124.0,ATORVASTAT,22560.0,755.0,26107.41,25952.91,154.5
170573,MCOU,XX,591.0,3777.0,19,20121.0,ATORVASTAT,382902.55,13108.0,2084129.76,2081537.57,2592.19
170574,MCOU,XX,591.0,3777.0,19,20122.0,ATORVASTAT,439343.5,15286.0,2390738.21,2377513.75,13224.46
170575,MCOU,XX,591.0,3777.0,19,20123.0,ATORVASTAT,411579.5,13967.0,648287.29,645519.59,2767.7
170576,MCOU,XX,591.0,3777.0,19,20124.0,ATORVASTAT,338539.0,11640.0,414762.0,412790.76,1971.24
103068,FFSU,XX,60505.0,2578.0,08,20123.0,ATORVASTAT,1723.0,57.0,1773.8,1708.31,65.49
103069,FFSU,XX,60505.0,2578.0,08,20124.0,ATORVASTAT,13858.0,445.0,10198.22,9640.2,558.02
103070,FFSU,XX,60505.0,2578.0,09,20122.0,ATORVASTAT,7956.0,253.0,10091.06,9452.46,638.6
103071,FFSU,XX,60505.0,2578.0,09,20123.0,ATORVASTAT,216703.0,7126.0,235259.26,223557.19,11702.07
103072,FFSU,XX,60505.0,2578.0,09,20124.0,ATORVASTAT,393413.0,12845.0,287097.77,274469.88,12627.89
224509,MCOU,XX,60505.0,2578.0,8.0,20123.0,ATORVASTAT,4110.0,137.0,1761.86,1761.86,0.0
224510,MCOU,XX,60505.0,2578.0,8.0,20124.0,ATORVASTAT,20487.0,690.0,11626.53,11604.53,22.0
224511,MCOU,XX,60505.0,2578.0,9.0,20122.0,ATORVASTAT,13521.0,446.0,18448.83,18385.83,63.0
224512,MCOU,XX,60505.0,2578.0,9.0,20123.0,ATORVASTAT,148579.0,5047.0,146135.1,145178.53,956.57
224513,MCOU,XX,60505.0,2578.0,9.0,20124.0,ATORVASTAT,316424.91,10548.0,243397.86,241978.32,1419.54
103073,FFSU,XX,60505.0,2579.0,08,20123.0,ATORVASTAT,1583.0,49.0,1031.29,775.14,256.15
103074,FFSU,XX,60505.0,2579.0,08,20124.0,ATORVASTAT,27091.0,867.0,25758.83,24023.1,1735.73
103075,FFSU,XX,60505.0,2579.0,09,20122.0,ATORVASTAT,15877.0,523.0,27723.41,26291.91,1431.5
103076,FFSU,XX,60505.0,2579.0,09,20123.0,ATORVASTAT,355833.0,11839.0,543846.09,522319.58,21526.51
103077,FFSU,XX,60505.0,2579.0,09,20124.0,ATORVASTAT,582333.0,19083.0,564860.47,543328.35,21532.12
224514,MCOU,XX,60505.0,2579.0,8.0,20123.0,ATORVASTAT,5425.0,182.0,3512.11,3512.11,0.0
224515,MCOU,XX,60505.0,2579.0,8.0,20124.0,ATORVASTAT,30816.0,1039.0,27246.85,27156.18,90.67
224516,MCOU,XX,60505.0,2579.0,9.0,20122.0,ATORVASTAT,24405.0,819.0,45460.57,45321.62,138.95
224517,MCOU,XX,60505.0,2579.0,9.0,20123.0,ATORVASTAT,240024.0,8150.0,344147.26,342528.98,1618.28
224518,MCOU,XX,60505.0,2579.0,9.0,20124.0,ATORVASTAT,490167.91,16392.0,536376.57,534351.39,2025.18
103078,FFSU,XX,60505.0,2580.0,08,20123.0,ATORVASTAT,1499.0,49.0,1062.54,978.54,84.0
103079,FFSU,XX,60505.0,2580.0,08,20124.0,ATORVASTAT,27144.0,876.0,27304.53,25683.47,1621.06
103080,FFSU,XX,60505.0,2580.0,09,20122.0,ATORVASTAT,14405.0,460.0,22249.92,20930.26,1319.66
103081,FFSU,XX,60505.0,2580.0,09,20123.0,ATORVASTAT,314113.08,10363.0,438466.09,418702.88,19763.21
103082,FFSU,XX,60505.0,2580.0,09,20124.0,ATORVASTAT,541456.0,17737.0,502464.06,480779.11,21684.95
224519,MCOU,XX,60505.0,2580.0,8.0,20123.0,ATORVASTAT,4740.0,159.0,2204.61,2201.61,3.0
224520,MCOU,XX,60505.0,2580.0,8.0,20124.0,ATORVASTAT,30420.0,1015.0,26366.52,25929.06,437.46
224521,MCOU,XX,60505.0,2580.0,9.0,20122.0,ATORVASTAT,24956.0,830.0,47307.15,47095.5,211.65
224522,MCOU,XX,60505.0,2580.0,9.0,20123.0,ATORVASTAT,265265.0,9101.0,380950.75,378672.38,2278.37
224523,MCOU,XX,60505.0,2580.0,9.0,20124.0,ATORVASTAT,499542.0,16775.0,545166.23,541980.68,3185.55
103388,FFSU,XX,60505.0,2671.0,08,20123.0,ATORVASTAT,480.0,17.0,836.85,821.85,15.0
103389,FFSU,XX,60505.0,2671.0,08,20124.0,ATORVASTAT,5102.0,174.0,5487.09,5119.57,367.52
103390,FFSU,XX,60505.0,2671.0,09,20122.0,ATORVASTAT,5881.0,202.0,9405.35,8769.66,635.69
103391,FFSU,XX,60505.0,2671.0,09,20123.0,ATORVASTAT,141438.875,4814.0,188744.02,179722.43,9021.59
103392,FFSU,XX,60505.0,2671.0,09,20124.0,ATORVASTAT,226433.75,7662.0,228655.04,219249.89,9405.15
224834,MCOU,XX,60505.0,2671.0,8.0,20123.0,ATORVASTAT,526.0,18.0,670.19,670.19,0.0
224835,MCOU,XX,60505.0,2671.0,8.0,20124.0,ATORVASTAT,3743.0,124.0,4220.36,4190.36,30.0
224836,MCOU,XX,60505.0,2671.0,9.0,20122.0,ATORVASTAT,9612.0,334.0,19922.36,19848.41,73.95
224837,MCOU,XX,60505.0,2671.0,9.0,20123.0,ATORVASTAT,109551.0,3835.0,151531.1,150502.25,1028.85
224838,MCOU,XX,60505.0,2671.0,9.0,20124.0,ATORVASTAT,185691.0,6461.0,195175.13,193983.3,1191.83
93821,FFSU,XX,55111.0,121.0,05,20123.0,ATORVASTAT,360.0,12.0,168.85,164.85,4.0
93822,FFSU,XX,55111.0,121.0,05,20124.0,ATORVASTAT,5336.0,175.0,3738.73,3609.43,129.3
93823,FFSU,XX,55111.0,121.0,90,20123.0,ATORVASTAT,836.0,17.0,1905.02,1903.02,2.0
93824,FFSU,XX,55111.0,121.0,90,20124.0,ATORVASTAT,217903.0,6439.0,204263.4,197325.9,6937.5
215628,MCOU,XX,55111.0,121.0,5.0,20123.0,ATORVASTAT,750.0,25.0,593.97,593.97,0.0
215629,MCOU,XX,55111.0,121.0,5.0,20124.0,ATORVASTAT,4485.0,146.0,3749.23,3737.23,12.0
215630,MCOU,XX,55111.0,121.0,90.0,20123.0,ATORVASTAT,1152.0,39.0,997.56,996.56,1.0
215631,MCOU,XX,55111.0,121.0,90.0,20124.0,ATORVASTAT,130884.94,4234.0,134911.85,134361.3,550.55
93825,FFSU,XX,55111.0,122.0,05,20123.0,ATORVASTAT,301.0,10.0,284.18,281.18,3.0
93826,FFSU,XX,55111.0,122.0,05,20124.0,ATORVASTAT,9100.5,290.0,8790.77,8467.14,323.63
93827,FFSU,XX,55111.0,122.0,90,20123.0,ATORVASTAT,1052.0,28.0,3199.82,3196.82,3.0
93828,FFSU,XX,55111.0,122.0,90,20124.0,ATORVASTAT,354486.0,10521.0,442828.0,430199.46,12628.54
215632,MCOU,XX,55111.0,122.0,5.0,20123.0,ATORVASTAT,1140.0,38.0,1433.05,1433.05,0.0
215633,MCOU,XX,55111.0,122.0,5.0,20124.0,ATORVASTAT,9471.0,312.0,11362.19,11358.19,4.0
215634,MCOU,XX,55111.0,122.0,90.0,20123.0,ATORVASTAT,1928.0,62.0,2282.57,2254.57,28.0
215635,MCOU,XX,55111.0,122.0,90.0,20124.0,ATORVASTAT,200805.91,6478.0,275974.19,274862.17,1112.02
93829,FFSU,XX,55111.0,123.0,05,20123.0,ATORVASTAT,150.0,5.0,86.68,86.68,0.0
93830,FFSU,XX,55111.0,123.0,05,20124.0,ATORVASTAT,5708.0,176.0,5333.12,5240.92,92.2
93831,FFSU,XX,55111.0,123.0,90,20123.0,ATORVASTAT,240.0,6.0,160.66,159.66,1.0
93832,FFSU,XX,55111.0,123.0,90,20124.0,ATORVASTAT,317465.0,9441.0,340205.55,328004.14,12201.41
215636,MCOU,XX,55111.0,123.0,5.0,20123.0,ATORVASTAT,390.0,13.0,555.02,555.02,0.0
215637,MCOU,XX,55111.0,123.0,5.0,20124.0,ATORVASTAT,8285.97,271.0,10368.0,10333.5,34.5
215638,MCOU,XX,55111.0,123.0,90.0,20123.0,ATORVASTAT,286.0,10.0,420.88,415.88,5.0
215639,MCOU,XX,55111.0,123.0,90.0,20124.0,ATORVASTAT,217136.0,7109.0,303320.69,302304.01,1016.68
93833,FFSU,XX,55111.0,124.0,05,20123.0,ATORVASTAT,90.0,3.0,57.14,57.14,0.0
93834,FFSU,XX,55111.0,124.0,05,20124.0,ATORVASTAT,1118.0,38.0,914.67,889.67,25.0
93835,FFSU,XX,55111.0,124.0,90,20123.0,ATORVASTAT,255.0,7.0,466.21,462.21,4.0
93836,FFSU,XX,55111.0,124.0,90,20124.0,ATORVASTAT,133595.0,3938.0,161507.68,157600.58,3907.1
215640,MCOU,XX,55111.0,124.0,5.0,20123.0,ATORVASTAT,150.0,5.0,174.85,174.85,0.0
215641,MCOU,XX,55111.0,124.0,5.0,20124.0,ATORVASTAT,1131.0,40.0,1272.44,1269.44,3.0
215642,MCOU,XX,55111.0,124.0,90.0,20123.0,ATORVASTAT,619.0,19.0,1008.39,1004.39,4.0
215643,MCOU,XX,55111.0,124.0,90.0,20124.0,ATORVASTAT,99925.0,3232.0,145408.99,144758.71,650.28
85187,FFSU,XX,51079.0,409.0,01,20124.0,ATORVASTAT,60.0,2.0,22.84,22.84,0.0
85188,FFSU,XX,51079.0,409.0,20,20123.0,ATORVASTAT,30.0,1.0,7.66,7.66,0.0
85189,FFSU,XX,51079.0,409.0,20,20124.0,ATORVASTAT,333.0,12.0,129.14,125.14,4.0
208200,MCOU,XX,51079.0,409.0,20.0,20123.0,ATORVASTAT,30.0,1.0,10.23,10.23,0.0
208201,MCOU,XX,51079.0,409.0,20.0,20124.0,ATORVASTAT,300.0,10.0,86.04,86.04,0.0
85190,FFSU,XX,51079.0,410.0,01,20124.0,ATORVASTAT,95.0,4.0,64.22,64.22,0.0
85191,FFSU,XX,51079.0,410.0,20,20124.0,ATORVASTAT,402.0,16.0,215.96,208.35,7.61
208202,MCOU,XX,51079.0,410.0,20.0,20123.0,ATORVASTAT,30.0,1.0,14.6,14.6,0.0
208203,MCOU,XX,51079.0,410.0,20.0,20124.0,ATORVASTAT,540.0,15.0,196.26,192.61,3.65
85192,FFSU,XX,51079.0,411.0,01,20124.0,ATORVASTAT,26.0,1.0,17.58,17.58,0.0
85193,FFSU,XX,51079.0,411.0,20,20123.0,ATORVASTAT,30.0,1.0,15.6,12.6,3.0
85194,FFSU,XX,51079.0,411.0,20,20124.0,ATORVASTAT,599.0,21.0,305.89,301.89,4.0
208204,MCOU,XX,51079.0,411.0,20.0,20123.0,ATORVASTAT,180.0,6.0,74.29,74.29,0.0
208205,MCOU,XX,51079.0,411.0,20.0,20124.0,ATORVASTAT,480.0,13.0,200.51,199.51,1.0
85195,FFSU,XX,51079.0,412.0,03,20124.0,ATORVASTAT,151.0,6.0,107.44,99.24,8.2
208206,MCOU,XX,51079.0,412.0,3.0,20124.0,ATORVASTAT,105.0,4.0,48.81,47.81,1.0
57960,FFSU,XX,904.0,6290.0,61,20123.0,ATORVASTAT,292.5,11.0,195.54,194.54,1.0
57961,FFSU,XX,904.0,6290.0,61,20124.0,ATORVASTAT,369.0,14.0,278.79,276.79,2.0
182948,MCOU,XX,904.0,6290.0,61,20123.0,ATORVASTAT,210.0,7.0,227.82,222.82,5.0
182949,MCOU,XX,904.0,6290.0,61,20124.0,ATORVASTAT,365.0,14.0,342.87,342.87,0.0
57962,FFSU,XX,904.0,6291.0,61,20122.0,ATORVASTAT,30.0,1.0,15.69,15.69,0.0
57963,FFSU,XX,904.0,6291.0,61,20123.0,ATORVASTAT,663.0,25.0,456.58,451.58,5.0
57964,FFSU,XX,904.0,6291.0,61,20124.0,ATORVASTAT,1251.0,39.0,948.57,936.57,12.0
182950,MCOU,XX,904.0,6291.0,61,20122.0,ATORVASTAT,90.0,3.0,89.8,89.8,0.0
182951,MCOU,XX,904.0,6291.0,61,20123.0,ATORVASTAT,210.0,7.0,194.31,193.31,1.0
182952,MCOU,XX,904.0,6291.0,61,20124.0,ATORVASTAT,552.0,19.0,585.4,584.4,1.0
109151,FFSU,XX,63304.0,827.0,05,20122.0,ATORVASTAT,1320.0,40.0,3509.0,3508.0,1.0
109152,FFSU,XX,63304.0,827.0,05,20123.0,ATORVASTAT,6270.0,187.0,9308.53,9208.76,99.77
109153,FFSU,XX,63304.0,827.0,05,20124.0,ATORVASTAT,9913.0,279.0,9597.38,9458.33,139.05
109154,FFSU,XX,63304.0,827.0,90,20121.0,ATORVASTAT,238131.1,7585.0,721441.87,694320.83,27121.04
109155,FFSU,XX,63304.0,827.0,90,20122.0,ATORVASTAT,325959.0,10370.0,919348.27,888055.38,31292.89
109156,FFSU,XX,63304.0,827.0,90,20123.0,ATORVASTAT,392659.0,11956.0,520774.23,506439.41,14334.82
109157,FFSU,XX,63304.0,827.0,90,20124.0,ATORVASTAT,366808.0,11266.0,337031.39,327219.1,9812.29
230411,MCOU,XX,63304.0,827.0,5.0,20121.0,ATORVASTAT,600.0,20.0,1833.06,1833.06,0.0
230412,MCOU,XX,63304.0,827.0,5.0,20122.0,ATORVASTAT,3390.0,113.0,8763.02,8762.02,1.0
230413,MCOU,XX,63304.0,827.0,5.0,20123.0,ATORVASTAT,7650.0,255.0,6989.42,6985.42,4.0
230414,MCOU,XX,63304.0,827.0,5.0,20124.0,ATORVASTAT,13861.0,451.0,13095.61,13072.28,23.33
230415,MCOU,XX,63304.0,827.0,90.0,20121.0,ATORVASTAT,644679.961,21048.0,1832543.52,1827476.37,5067.15
230416,MCOU,XX,63304.0,827.0,90.0,20122.0,ATORVASTAT,788155.0009999999,26617.0,2072350.26,2014052.29,58297.97
230417,MCOU,XX,63304.0,827.0,90.0,20123.0,ATORVASTAT,680458.0009999999,22700.0,687028.69,683117.25,3911.44
230418,MCOU,XX,63304.0,827.0,90.0,20124.0,ATORVASTAT,562009.971,18591.0,467275.38,465497.1,1778.28
109158,FFSU,XX,63304.0,828.0,05,20122.0,ATORVASTAT,836.0,26.0,3277.19,3277.19,0.0
109159,FFSU,XX,63304.0,828.0,05,20123.0,ATORVASTAT,11099.0,326.0,24273.2,24129.49,143.71
109160,FFSU,XX,63304.0,828.0,05,20124.0,ATORVASTAT,15546.0,464.0,19171.27,18973.4,197.87
109161,FFSU,XX,63304.0,828.0,90,20121.0,ATORVASTAT,350381.0,12435.0,1701273.79,1659702.09,41571.7
109162,FFSU,XX,63304.0,828.0,90,20122.0,ATORVASTAT,448579.0,14202.0,1767657.27,1720986.86,46670.41
109163,FFSU,XX,63304.0,828.0,90,20123.0,ATORVASTAT,542727.0,16739.0,933459.17,912390.37,21068.8
109164,FFSU,XX,63304.0,828.0,90,20124.0,ATORVASTAT,496319.5,15298.0,561585.89,548125.08,13460.81
230419,MCOU,XX,63304.0,828.0,5.0,20121.0,ATORVASTAT,480.0,16.0,2228.18,2228.18,0.0
